0,2467.3535,-1632.1931,13.4001,173.9677|Groove st.
0,2091.0996,-1166.3903,26.5859,88.6839|Glen park
0,1684.2762,-1071.9752,23.9349,218.6763|Parking
0,940.5912,-1085.5826,24.2962,2.5860|Clad
0,1421.5852,2773.5801,10.8203,87.9397|Golf
0,-2132.4841,196.7388,35.3400,10.2251|Doroty
0,361.076202,-2031.325683,7.835937,267.883270|Pierce
0,154.498458,-1943.330932,3.773437,0.0|Mayak
1,3857.5645,-1610.1498,1440.9122|[STUNT] Sky road
1,2488.5618,-1045.9331,203.7728,272.0|[STUNT] Big jump
1,2119.0869,-2616.2554,13.5469,353.8925|[STUNT] Los Santos Airport
1,2377.4990,-1154.2810,27.0110,267.9611|[STUNT] Roller Coaster
1,2582.1931,-2109.1343,1.1599,180.2970|[STUNT] Big Race
1,-1183.4590,1215.4032,6.0073,312.3|[STUNT] SF Race
1,1775.9167,-2459.4174,319.0224,0|[STUNT] Burda
1,-2002.6878, -371.5014, 1388.4659,0|[STUNT] Descent
